"UTM Easting","UTM Northing","Cotton Yield"
713205,6787177,8.31979127025955
713205,6787175,8.24868741968003
713205,6787173,8.18975858478718
713205,6787171,8.13478027317682
713205,6787169,8.10333485820965
713205,6787167,8.08629286846192
713205,6787165,8.1200262491489
713205,6787163,8.15912756515833
713205,6787161,8.23585753310722
713205,6787159,8.31618367481908
713205,6787157,8.41736707983628
713205,6787155,8.53824952956932
713205,6787153,8.66798767203592
713205,6787151,8.76163660252525
713205,6787149,8.82106783162738
713205,6787147,8.85675994588227
713205,6787145,8.86927140742877
713207,6787343,6.11521374769708
713207,6787341,6.25617441702498
713207,6787339,6.6309070004698
713207,6787337,7.08490993810487
713207,6787335,7.48550076542993
713207,6787333,7.84158150082998
713207,6787331,7.6317783554892
713207,6787329,7.34468790910695
713207,6787327,7.04710730545766
713207,6787325,6.73067678660719
713207,6787323,6.4430126785613
713207,6787321,6.39376919606988
713207,6787319,6.45613252815975
713207,6787317,6.51350679368243
713207,6787315,6.57497922102816
713207,6787313,6.63645164837389
713207,6787311,7.08355307618791
713207,6787309,7.50606553306365
713207,6787307,7.92857798993938
713207,6787305,8.35109044681512
713207,6787303,8.627384980082
713207,6787301,8.44542367618917
713207,6787299,8.25154791220167
713207,6787297,8.05767214821417
713207,6787295,7.86379638422667
713207,6787293,7.79135246744407
713207,6787291,7.7381278800095
713207,6787289,7.69681775266958
713207,6787287,7.6562799438027
713207,6787285,7.61625701391783
713207,6787283,7.60102016043691
713207,6787281,7.62703824684766
713207,6787279,7.52062649562679
713207,6787277,7.41329056767552
713207,6787275,7.36048106589676
713207,6787273,7.38827736556618
713207,6787271,7.39873605798093
713207,6787269,7.53848230672884
713207,6787267,7.67384521677803
713207,6787265,7.72303874698531
713207,6787263,7.71124474753761
713207,6787261,7.77434005694611
713207,6787259,7.86961509919
713207,6787257,8.14645208711673
713207,6787255,8.41460277021651
713207,6787253,8.64721980739158
713207,6787251,8.78764062711634
713207,6787249,8.8421247323902
713207,6787247,8.55177790508335
713207,6787245,8.28872657928728
713207,6787243,8.06145713172399
713207,6787241,7.89647296789467
713207,6787239,7.81310530829293
713207,6787237,7.9422921158825
713207,6787235,8.10717293172866
713207,6787233,8.22586878592797
713207,6787231,8.24585348102439
713207,6787229,8.17422786281244
713207,6787227,7.97650435940795
713207,6787225,7.76581815329075
713207,6787223,7.59767144680604
713207,6787221,7.48852030716918
713207,6787219,7.46288720586472
713207,6787217,7.53510126514872
713207,6787215,7.59915017287414
713207,6787213,7.65385347469765
713207,6787211,7.72963250843768
713207,6787209,7.83813560520235
713207,6787207,7.96111717128242
713207,6787205,8.10950770909952
713207,6787203,8.27000585312729
713207,6787201,8.38531932960614
713207,6787199,8.38232830258693
713207,6787197,8.30459822808682
713207,6787195,8.19109620538153
713207,6787193,8.07721107200192
713207,6787191,7.99965626927999
713207,6787189,8.02073242523283
713207,6787187,8.11494783901286
713207,6787185,8.24923140963435
713207,6787183,8.35116957353381
713207,6787181,8.3966202848541
713207,6787179,8.38862010297054
713207,6787177,8.33793760282629
713207,6787175,8.21774358615317
713207,6787173,8.11499413521203
713207,6787171,8.03361429286714
713207,6787169,8.01755479607339
713207,6787167,8.02558429673071
713207,6787165,8.09421142308108
713207,6787163,8.18211620651782
713207,6787161,8.28894739021963
713207,6787159,8.38204463908668
713207,6787157,8.51907764069799
713207,6787155,8.67963248966405
713207,6787153,8.85072091413207
713207,6787151,9.0095290804296
713207,6787149,9.0933438179376
713207,6787147,9.15429163640137
713207,6787145,9.17598715935002
713209,6787355,7.62854970584614
713209,6787353,7.65868442570752
713209,6787351,7.68480118292071
713209,6787349,7.33919068706018
713209,6787347,6.88930630607404
713209,6787345,6.49234949932157
713209,6787343,6.13949900443048
713209,6787341,6.18408300415585
713209,6787339,6.5696265540796
713209,6787337,7.01453694848365
713209,6787335,7.41900094339641
713209,6787333,7.78829415614285
713209,6787331,7.69538106465455
713209,6787329,7.48226257091271
713209,6787327,7.18468196726343
713209,6787325,6.88710136361414
713209,6787323,6.58952075996485
713209,6787321,6.45688154598226
713209,6787319,6.43973988086756
713209,6787317,6.50121230821328
713209,6787315,6.56268473555901
713209,6787313,6.62415716290474
713209,6787311,7.08355307618791
713209,6787309,7.50606553306365
713209,6787307,7.92857798993938
713209,6787305,8.35109044681512
713209,6787303,8.63929944017666
713209,6787301,8.46925259637849
713209,6787299,8.27537683239099
713209,6787297,8.08150106840349
713209,6787295,7.88762530441599
713209,6787293,7.81152895300672
713209,6787291,7.73610319351112
713209,6787289,7.7015153052237
713209,6787287,7.66567220570039
713209,6787285,7.62539553337574
713209,6787283,7.59907061659868
713209,6787281,7.62321883703946
713209,6787279,7.51705840809096
713209,6787277,7.40291562232716
713209,6787275,7.33223114745014
713209,6787273,7.36290284622819
713209,6787271,7.40314837964114
713209,6787269,7.54189716495677
713209,6787267,7.66205625934557
713209,6787265,7.68503723142943
713209,6787263,7.64339403427822
713209,6787261,7.68516053149549
